,sex.x,subject_name,YAG.x,SECTIONNAME.x,YAG.y,SECTIONNAME.y,count,qualification_TR.x
1,F,Nursing and midwifery,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,10185,First degree
2,F,Education and teaching,1,EDUCATION,3,EDUCATION,4250,First degree
3,F,Allied health,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,2165,First degree
4,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1990,First degree
5,M,Computing,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,1865,First degree
6,F,Medicine and dentistry,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1780,First degree
7,M,Engineering,1,MANUFACTURING,3,MANUFACTURING,1615,First degree
8,M,Medicine and dentistry,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1445,First degree
9,M,Engineering,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1320,First degree
10,F,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1260,First degree
11,M,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1160,First degree
12,M,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1085,First degree
13,F,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1085,First degree
14,F,Health and social care,1,EDUCATION,3,EDUCATION,910,First degree
15,M,Business and management,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,900,First degree
16,F,Education and teaching,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,885,First degree
17,M,Nursing and midwifery,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,830,First degree
18,M,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,730,First degree
19,F,Health and social care,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,630,First degree
20,F,Psychology,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,620,First degree
21,F,Business and management,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,615,First degree
22,M,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,605,First degree
23,F,Business and management,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,585,First degree
24,M,Business and management,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,570,First degree
25,F,Medical sciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,565,First degree
26,M,Education and teaching,1,EDUCATION,3,EDUCATION,565,First degree
27,F,Creative arts and design,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",565,First degree
28,M,Allied health,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,530,First degree
29,M,"Architecture, building and planning",1,CONSTRUCTION,3,CONSTRUCTION,525,First degree
30,F,Law,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",515,First degree
31,M,Economics,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,510,First degree
32,F,"Sociology, social policy and anthropology",1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,500,First degree
33,M,Computing,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,495,First degree
34,F,English studies,1,EDUCATION,3,EDUCATION,490,First degree
35,F,Psychology,1,EDUCATION,3,EDUCATION,480,First degree
36,M,"Architecture, building and planning",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",475,First degree
37,F,Business and management,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,465,First degree
38,F,Business and management,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,435,First degree
39,F,"Sociology, social policy and anthropology",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,435,First degree
40,M,Economics,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",435,First degree
41,F,Business and management,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,435,First degree
42,M,Business and management,1,MANUFACTURING,3,MANUFACTURING,435,First degree
43,M,Computing,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",400,First degree
44,F,Creative arts and design,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,380,First degree
45,F,Creative arts and design,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,370,First degree
46,M,Business and management,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,370,First degree
47,M,Engineering,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,370,First degree
48,F,"Media, journalism and communications",1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,365,First degree
49,F,"Sociology, social policy and anthropology",1,EDUCATION,3,EDUCATION,365,First degree
50,M,Creative arts and design,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",360,First degree
51,F,Business and management,1,MANUFACTURING,3,MANUFACTURING,360,First degree
52,M,Sport and exercise sciences,1,EDUCATION,3,EDUCATION,355,First degree
53,F,Performing arts,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,355,First degree
54,F,Business and management,1,EDUCATION,3,EDUCATION,355,First degree
55,F,Veterinary sciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",350,First degree
56,M,Mathematical sciences,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,340,First degree
57,F,Biosciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",340,First degree
58,M,Engineering,1,CONSTRUCTION,3,CONSTRUCTION,340,First degree
59,M,Creative arts and design,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,335,First degree
60,M,Performing arts,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,335,First degree
61,M,Business and management,1,TRANSPORTATION AND STORAGE,3,TRANSPORTATION AND STORAGE,330,First degree
62,F,Creative arts and design,1,EDUCATION,3,EDUCATION,330,First degree
63,F,Allied health,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,325,First degree
64,M,Engineering,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,325,First degree
65,M,"Media, journalism and communications",1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,315,First degree
66,F,Biosciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,305,First degree
67,F,English studies,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",305,First degree
68,M,Computing,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,295,First degree
69,F,"Geography, earth and environmental studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",295,First degree
70,M,Mathematical sciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",290,First degree
71,F,Performing arts,1,EDUCATION,3,EDUCATION,290,First degree
72,M,"Geography, earth and environmental studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",290,First degree
73,F,English studies,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,285,First degree
74,F,"Media, journalism and communications",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,285,First degree
75,M,Performing arts,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,285,First degree
76,F,Performing arts,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,280,First degree
77,F,Combined and general studies,1,EDUCATION,3,EDUCATION,275,First degree
78,M,Sport and exercise sciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,275,First degree
79,F,"Sociology, social policy and anthropology",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,270,First degree
80,F,English studies,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,270,First degree
81,F,Psychology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,265,First degree
82,M,Mathematical sciences,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,250,First degree
83,F,History and archaeology,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",250,First degree
84,M,Business and management,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,250,First degree
85,F,Psychology,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",245,First degree
86,F,Engineering,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",245,First degree
87,F,Creative arts and design,1,MANUFACTURING,3,MANUFACTURING,240,First degree
88,M,"Media, journalism and communications",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,240,First degree
89,M,Computing,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,235,First degree
90,F,Performing arts,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",235,First degree
91,M,Creative arts and design,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,235,First degree
92,F,History and archaeology,1,EDUCATION,3,EDUCATION,235,First degree
93,F,Education and teaching,1,EDUCATION,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,230,First degree
94,M,Sport and exercise sciences,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",220,First degree
95,F,Business and management,1,TRANSPORTATION AND STORAGE,3,TRANSPORTATION AND STORAGE,220,First degree
96,F,Computing,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,220,First degree
97,M,Creative arts and design,1,MANUFACTURING,3,MANUFACTURING,215,First degree
98,M,"Sociology, social policy and anthropology",1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,215,First degree
99,F,Sport and exercise sciences,1,EDUCATION,3,EDUCATION,215,First degree
100,M,History and archaeology,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",205,First degree
101,M,Engineering,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,205,First degree
102,F,"Pharmacology, toxicology and pharmacy",1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,205,First degree
103,F,Economics,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",205,First degree
104,M,Medical sciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,205,First degree
105,M,Business and management,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,205,First degree
106,F,Nursing and midwifery,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,205,First degree
107,M,Biosciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",200,First degree
108,F,"Media, journalism and communications",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",200,First degree
109,F,Mathematical sciences,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",200,First degree
110,F,Languages and area studies,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",200,First degree
111,F,Psychology,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,200,First degree
112,F,Creative arts and design,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,200,First degree
113,M,Law,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",200,First degree
114,F,Economics,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,195,First degree
115,M,Business and management,1,REAL ESTATE ACTIVITIES,3,REAL ESTATE ACTIVITIES,195,First degree
116,F,Mathematical sciences,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,195,First degree
117,F,Education and teaching,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,190,First degree
118,F,Allied health,1,EDUCATION,3,EDUCATION,190,First degree
119,F,Engineering,1,MANUFACTURING,3,MANUFACTURING,185,First degree
120,F,Education and teaching,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,EDUCATION,185,First degree
121,M,Business and management,1,EDUCATION,3,EDUCATION,185,First degree
122,F,"Sociology, social policy and anthropology",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",185,First degree
123,M,Computing,1,MANUFACTURING,3,MANUFACTURING,180,First degree
124,M,Sport and exercise sciences,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,175,First degree
125,F,"Sociology, social policy and anthropology",1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,170,First degree
126,M,Engineering,1,TRANSPORTATION AND STORAGE,3,TRANSPORTATION AND STORAGE,165,First degree
127,F,Law,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,165,First degree
128,F,History and archaeology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,165,First degree
129,F,Education and teaching,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,165,First degree
130,M,Business and management,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",165,First degree
131,F,English studies,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,160,First degree
132,M,History and archaeology,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,160,First degree
133,M,History and archaeology,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,160,First degree
134,F,Creative arts and design,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,160,First degree
135,F,Psychology,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,160,First degree
136,M,Computing,1,EDUCATION,3,EDUCATION,160,First degree
137,M,Physics and astronomy,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,155,First degree
138,F,Business and management,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,155,First degree
139,M,History and archaeology,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,155,First degree
140,F,Biosciences,1,EDUCATION,3,EDUCATION,155,First degree
141,M,Allied health,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,155,First degree
142,F,Psychology,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,150,First degree
143,M,Economics,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,150,First degree
144,F,Biosciences,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,150,First degree
145,M,Performing arts,1,EDUCATION,3,EDUCATION,150,First degree
146,F,Health and social care,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,150,First degree
147,M,Computing,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,INFORMATION AND COMMUNICATION,145,First degree
148,F,Business and management,1,REAL ESTATE ACTIVITIES,3,REAL ESTATE ACTIVITIES,145,First degree
149,F,Education and teaching,1,EDUCATION,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,145,First degree
150,M,Performing arts,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",145,First degree
151,M,Physics and astronomy,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",140,First degree
152,F,Law,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,140,First degree
153,M,Engineering,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,140,First degree
154,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",140,First degree
155,M,Chemistry,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",140,First degree
156,M,"Media, journalism and communications",1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,140,First degree
157,M,Politics,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,140,First degree
158,F,English studies,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,140,First degree
159,F,Combined and general studies,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,135,First degree
160,M,Biosciences,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,135,First degree
161,F,"Architecture, building and planning",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",135,First degree
162,F,Education and teaching,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,EDUCATION,135,First degree
163,M,Creative arts and design,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,135,First degree
164,F,Performing arts,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,135,First degree
165,M,Engineering,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,130,First degree
166,F,History and archaeology,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,130,First degree
167,F,Performing arts,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,130,First degree
168,F,Creative arts and design,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,130,First degree
169,M,Business and management,1,CONSTRUCTION,3,CONSTRUCTION,125,First degree
170,M,Sport and exercise sciences,1,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,3,PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY,125,First degree
171,F,Languages and area studies,1,EDUCATION,3,EDUCATION,125,First degree
172,F,"Sociology, social policy and anthropology",1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,125,First degree
173,M,History and archaeology,1,EDUCATION,3,EDUCATION,125,First degree
174,F,Education and teaching,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,125,First degree
175,F,Creative arts and design,1,"ARTS, ENTERTAINMENT AND RECREATION",3,"ARTS, ENTERTAINMENT AND RECREATION",125,First degree
176,M,Creative arts and design,1,EDUCATION,3,EDUCATION,125,First degree
177,F,History and archaeology,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,125,First degree
